Total Sheets: 44

--- SHEET: 5020 -2 HOJAS (Path: xl/worksheets/sheet1.xml) ---
Row 1:                 |                 |                 |                 |                 |                 |                 |                
Row 2:  VENTANERIA 5020  DOS HOJAS |                 |                 |                 |                 |                 |                 |                
Row 3:          ALTURA |                 |                 |             100 |     CENTIMETROS |                 |                 |                
Row 4:           ANCHO |                 |                 |             150 |     CENTIMETROS |                 |                 |                
Row 5:        CANTIDAD |                 |                 |               1 |                 |                 |                 |                
Row 6:   REF. ALUMINIO |                 |                 |                 |                 |                 |                 |                
Row 7:     REF. VIDRIO |                 |                 |                 |                 |                 |                 |                
Row 8:     DESCRIPCION |                 |            REF. | MEDIDAS EN CENTIMETROS |                 |                 |       CANT UND. |    CORTE GRADOS
Row 9:                 |                 |                 |                 |                 |                 |                 |                
Row 10:           MARCO |         CABEZAL |        ALNA-144 |             150 |                 |                 |               1 |              90
Row 11:                 |          SILLAR |        ALNA-194 |             150 |                 |                 |               1 |              90
Row 12:                 |           JAMBA |        ALNB-193 |            98.5 |                 |                 |               2 |              90
Row 13:           HOJAS |        ENGANCHE |        ALNB-147 |              97 |                 |                 |               2 |              90
Row 14:                 |        TRASLAPE |        ALNA-192 |              97 |                 |                 |               2 |              90
Row 15:                 |     HORIZONTAL  |        ALNA-349 | 73.599999999999994 |                 |                 |               4 |              90

--- SHEET: 5020 - 3 HOJAS (Path: xl/worksheets/sheet2.xml) ---
Row 1:                 |                 |                 |                 |                 |                 |                 |                
Row 2:  VENTANERIA 5020 TRES HOJAS |                 |                 |                 |                 |                 |                 |                
Row 3:          ALTURA |                 |                 |             150 |     CENTIMETROS |                 |                 |                
Row 4:           ANCHO |                 |                 |             300 |     CENTIMETROS |                 |                 |                
Row 5:        CANTIDAD |                 |                 |               1 |                 |                 |                 |                
Row 6:   REF. ALUMINIO |                 |                 |                 |                 |                 |                 |                
Row 7:     REF. VIDRIO |                 |                 |                 |                 |                 |                 |                
Row 8:     DESCRICCION |                 |            REF. | MEDIDAS EN CENTIMETROS |                 |                 |       CANT UND. |    CORTE GRADOS
Row 9:                 |                 |                 |                 |                 |                 |                 |                
Row 10:           MARCO |         CABEZAL |        ALNA-144 |             300 |                 |                 |               1 |              90
Row 11:                 |          SILLAR |        ALNA-194 |             300 |                 |                 |               1 |              90
Row 12:                 |           JAMBA |        ALNB-193 |           148.5 |                 |                 |               2 |              90
Row 13:           HOJAS |        ENGANCHE |        ALNB-147 |             147 |                 |                 |               4 |              90
Row 14:                 |        TRASLAPE |        ALNA-192 |             147 |                 |                 |               2 |              90
Row 15:                 |      HOR, CORR. |        ALNA-349 |           72.25 |                 |                 |               4 |              90

--- SHEET: 5020 - 4 HOJAS (Path: xl/worksheets/sheet3.xml) ---
Row 1:                 |                 |                 |                 |                 |                 |                 |                
Row 2:  VENTANA 5020 CUATRO HOJAS |                 |                 |                 |                 |                 |                 |                
Row 3:          ALTURA |                 |                 |             110 |     CENTIMETROS |                 |                 |                
Row 4:           ANCHO |                 |                 |             238 |     CENTIMETROS |                 |                 |                
Row 5:        CANTIDAD |                 |                 |               1 |                 |                 |                 |                
Row 6:    REF.ALUMINIO |                 |                 |                 |                 |                 |                 |                
Row 7:     REF. VIDRIO |                 |                 |                 |                 |                 |                 |                
Row 8:     DESCRICCION |                 |            REF. | MEDIDAS EN CENTIMETROS |                 |                 |       CANT UND. |    CORTE GRADOS
Row 9:           MARCO |         CABEZAL |        ALNA-144 |             238 |                 |                 |               1 |              90
Row 10:                 |          SILLAR |        ALNA-194 |             238 |                 |                 |               1 |              90
Row 11:                 |           JAMBA |         ANB-193 |           108.5 |                 |                 |               2 |              90
Row 12:           HOJAS |        ENGANCHE |        ALNB-147 |             107 |                 |                 |               4 |              90
Row 13:                 |        TRASLAPE |        ALNA-192 |             107 |                 |                 |               4 |              90
